iter	Passed	Remaining
0	42	12745
1	89	13391
2	136	13505
3	184	13643
4	229	13514
5	278	13637
6	324	13601
7	372	13605
8	418	13540
9	464	13473
10	508	13372
11	557	13385
12	604	13350
13	652	13321
14	697	13256
15	743	13203
16	786	13100
17	831	13025
18	880	13027
19	921	12904
20	963	12800
21	1009	12757
22	1053	12683
23	1094	12591
24	1137	12510
25	1188	12527
26	1234	12484
27	1280	12441
28	1324	12375
29	1371	12341
30	1424	12361
31	1475	12358
32	1516	12270
33	1561	12217
34	1609	12187
35	1651	12113
36	1694	12046
37	1736	11971
38	1780	11914
39	1829	11889
40	1872	11829
41	1914	11758
42	1963	11735
43	2014	11721
44	2064	11697
45	2105	11624
46	2149	11569
47	2193	11517
48	2237	11459
49	2285	11426
50	2328	11369
51	2370	11307
52	2419	11276
53	2463	11223
54	2510	11183
55	2552	11120
56	2598	11077
57	2639	11011
58	2682	10955
59	2724	10897
60	2776	10877
61	2822	10834
62	2865	10780
63	2913	10742
64	2957	10691
65	2998	10631
66	3041	10575
67	3086	10529
68	3129	10475
69	3173	10427
70	3215	10371
71	3262	10331
72	3306	10282
73	3352	10239
74	3396	10189
75	3438	10135
76	3481	10082
77	3524	10029
78	3568	9981
79	3613	9937
80	3657	9888
81	3714	9875
82	3761	9834
83	3815	9811
84	3864	9775
85	3913	9738
86	3960	9696
87	4011	9663
88	4064	9635
89	4117	9607
90	4164	9564
91	4212	9524
92	4266	9497
93	4315	9457
94	4359	9407
95	4405	9361
96	4459	9333
97	4511	9299
98	4563	9265
99	4615	9231
100	4663	9188
101	4703	9131
102	4757	9099
103	4804	9054
104	4852	9011
105	4895	8960
106	4942	8914
107	4986	8864
108	5038	8828
109	5082	8778
110	5129	8733
111	5173	8683
112	5248	8685
113	5298	8644
114	5344	8597
115	5388	8547
116	5435	8501
117	5482	8455
118	5537	8422
119	5588	8382
120	5644	8349
121	5688	8299
122	5734	8251
123	5778	8201
124	5825	8155
125	5896	8142
126	5951	8106
127	5991	8050
128	6036	8001
129	6078	7948
130	6129	7907
131	6179	7864
132	6229	7822
133	6276	7775
134	6331	7738
135	6376	7689
136	6423	7642
137	6480	7607
138	6526	7559
139	6585	7526
140	6632	7478
141	6685	7438
142	6738	7397
143	6807	7375
144	6928	7405
145	7005	7389
146	7068	7357
147	7122	7315
148	7168	7264
149	7217	7217
150	7271	7175
151	7324	7131
152	7372	7083
153	7427	7041
154	7479	6996
155	7527	6948
156	7581	6905
157	7629	6856
158	7678	6809
159	7730	6763
160	7783	6720
161	7832	6672
162	7889	6631
163	7948	6591
164	7997	6543
165	8051	6499
166	8107	6457
167	8163	6414
168	8213	6366
169	8262	6318
170	8312	6271
171	8363	6223
172	8411	6175
173	8460	6126
174	8503	6073
175	8554	6027
176	8606	5980
177	8654	5931
178	8705	5884
179	8757	5838
180	8812	5793
181	8869	5750
182	8922	5704
183	8965	5652
184	9012	5602
185	9062	5554
186	9119	5510
187	9168	5462
188	9217	5413
189	9262	5362
190	9315	5316
191	9359	5264
192	9406	5214
193	9454	5166
194	9509	5120
195	9560	5072
196	9609	5024
197	9659	4976
198	9708	4927
199	9757	4878
200	9804	4828
201	9856	4781
202	9911	4736
203	9959	4686
204	10013	4640
205	10058	4589
206	10102	4538
207	10158	4492
208	10207	4444
209	10255	4395
210	10306	4347
211	10363	4301
212	10425	4258
213	10471	4207
214	10517	4157
215	10571	4111
216	10619	4061
217	10672	4014
218	10730	3968
219	10780	3920
220	10833	3872
221	10879	3822
222	10938	3777
223	10991	3729
224	11044	3681
225	11093	3632
226	11149	3585
227	11205	3538
228	11262	3491
229	11314	3443
230	11366	3395
231	11412	3345
232	11463	3296
233	11514	3247
234	11567	3199
235	11618	3150
236	11669	3101
237	11719	3053
238	11768	3003
239	11817	2954
240	11860	2903
241	11910	2854
242	11966	2806
243	12021	2759
244	12076	2710
245	12125	2661
246	12173	2612
247	12216	2561
248	12265	2512
249	12319	2463
250	12369	2414
251	12420	2365
252	12466	2315
253	12514	2266
254	12568	2217
255	12625	2169
256	12681	2121
257	12738	2073
258	12785	2023
259	12842	1975
260	12888	1925
261	12936	1876
262	12986	1827
263	13036	1777
264	13084	1728
265	13139	1679
266	13197	1631
267	13252	1582
268	13302	1532
269	13355	1483
270	13411	1435
271	13461	1385
272	13513	1336
273	13561	1286
274	13619	1238
275	13675	1189
276	13729	1139
277	13775	1090
278	13833	1041
279	13885	991
280	13935	942
281	13993	893
282	14042	843
283	14092	793
284	14148	744
285	14205	695
286	14259	645
287	14311	596
288	14360	546
289	14410	496
290	14457	447
291	14512	397
292	14566	348
293	14620	298
294	14671	248
295	14731	199
296	14786	149
297	14842	99
298	14894	49
299	14941	0
